file_path,closure,dag_mode
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_3.json,9529,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_0.json,7044,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_0.json,7138,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_0.json,7026,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_9.json,19243,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_9.json,18659,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_9.json,18597,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_3.json,13766,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_3.json,14377,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_3.json,14063,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_7.json,18307,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_7.json,19126,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_7.json,18622,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_7.json,16794,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_7.json,16640,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_7.json,16004,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_5.json,6886,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_5.json,7090,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_5.json,6896,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_6.json,21730,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_6.json,21753,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_6.json,21095,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_0.json,16163,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_0.json,16661,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_0.json,15976,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_9.json,20689,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_9.json,21523,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_9.json,21018,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_7.json,13426,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_7.json,14695,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_600CYC_QSE_7.json,14004,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_6.json,9486,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_6.json,9225,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_6.json,9548,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_5.json,9586,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_5.json,9756,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_5.json,9412,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_2.json,21216,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_2.json,21576,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_2.json,21175,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_9.json,4506,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_9.json,4423,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_9.json,4296,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_4.json,7160,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_4.json,7230,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_4.json,6859,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_0.json,18455,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_0.json,19335,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_0.json,18371,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_5.json,4575,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_5.json,4602,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_5.json,4613,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_2.json,7048,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_2.json,7335,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_2.json,7149,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_4.json,16068,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_4.json,16339,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_700CYC_QSE_4.json,17047,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_6.json,18998,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_6.json,18861,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_800CYC_QSE_6.json,18981,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_8.json,9705,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_8.json,9638,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_400CYC_QSE_8.json,9607,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_0.json,4811,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_0.json,5070,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_200CYC_QSE_0.json,4627,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_7.json,6966,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_7.json,7116,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_7.json,6699,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_1.json,11731,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_1.json,11873,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_1.json,11253,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_3.json,20984,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_3.json,21536,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_900CYC_QSE_3.json,20966,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_8.json,11781,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_8.json,11699,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_8.json,11435,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_6.json,7148,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_6.json,7579,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_300CYC_QSE_6.json,6735,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_2.json,11467,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_2.json,11726,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_2.json,11567,no-rar
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_4.json,11600,hybrid
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_4.json,12275,default
benchmarks/polyhedral/queko-bss-81qbt/81QBT_500CYC_QSE_4.json,11743,no-rar
